1X2 <> 1,DOPPIA CHANCE OUT <> X2
1X2 <> X,DOPPIA CHANCE IN/OUT <> 12
1X2 <> 2,DOPPIA CHANCE IN <> 1X
DOPPIA CHANCE OUT <> X2,1X2 <> 1
DOPPIA CHANCE IN/OUT <> 12,1X2 <> X
DOPPIA CHANCE IN <> 1X,1X2 <> 2
U/O 0.5 <> OVER,U/O 0.5 <> UNDER
U/O 1.5 <> OVER,U/O 1.5 <> UNDER
U/O 2.5 <> OVER,U/O 2.5 <> UNDER
U/O 3.5 <> OVER,U/O 3.5 <> UNDER
U/O 4.5 <> OVER,U/O 4.5 <> UNDER
U/O 0.5 <> UNDER,U/O 0.5 <> OVER
U/O 1.5 <> UNDER,U/O 1.5 <> OVER
U/O 2.5 <> UNDER,U/O 2.5 <> OVER
U/O 3.5 <> UNDER,U/O 3.5 <> OVER
U/O 4.5 <> UNDER,U/O 4.5 <> OVER
GOAL/NOGOAL <> GOAL,GOAL/NOGOAL <> NOGOAL
GOAL/NOGOAL <> NOGOAL,GOAL/NOGOAL <> GOAL
ESPULSIONE SI/NO <> NO,ESPULSIONE SI/NO <> SI
ESPULSIONE SI/NO <> SI,ESPULSIONE SI/NO <> NO
